Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH
ATJ,13,BATCHSTART,9/29/2023 4:12:14 PM,VAL-62-52D,,,8000,8000,1925
ATJ,13,BATCHSTOP,9/29/2023 8:21:35 PM,VAL-62-52D,,,0,0,0
ATJ,13,BATCHSTART,9/29/2023 8:21:35 PM,MXE-62-522,,,2500,2500,1925
ATJ,13,BATCHSTOP,9/29/2023 9:39:31 PM,MXE-62-522,,,0,0,0
ATJ,13,BATCHSTART,9/29/2023 9:39:31 PM,CHV-62-521,,,10000,10000,1925
ATJ,13,BATCHSTOP,9/30/2023 2:51:12 AM,CHV-62-521,,,0,0,0
ATJ,13,SUPERSTOP,9/30/2023 2:51:12 AM,JA1-62-521,,,0,0,0
ATJ,14,SUPERSTART,9/22/2023 5:28:34 AM,JA1-A3-521,,,139000,139000,2100
ATJ,14,BATCHSTART,9/22/2023 5:28:34 AM,BPO-A3-521,,,20000,20000,2100
ATJ,14,BATCHSTOP,9/22/2023 3:00:00 PM,BPO-A3-521,,,0,0,0
ATJ,14,BATCHSTART,9/22/2023 3:00:00 PM,BZA-A3-521,,,12500,12500,2100
ATJ,14,BATCHSTOP,9/22/2023 8:57:08 PM,BZA-A3-521,,,0,0,0
ATJ,14,BATCHSTART,9/22/2023 8:57:08 PM,CWH-A3-521,,,5000,5000,2100
ATJ,14,BATCHSTOP,9/22/2023 11:20:00 PM,CWH-A3-521,,,0,0,0
ATJ,14,BATCHSTART,9/22/2023 11:20:00 PM,MOB-A3-521,,,20000,20000,2100
ATJ,14,BATCHSTOP,9/23/2023 8:51:25 AM,MOB-A3-521,,,0,0,0
ATJ,14,BATCHSTART,9/23/2023 8:51:25 AM,MTV-A3-521,,,12500,12500,2100
ATJ,14,BATCHSTOP,9/23/2023 2:48:34 PM,MTV-A3-521,,,0,0,0
ATJ,14,BATCHSTART,9/23/2023 2:48:34 PM,MUC-A3-522,,,5000,5000,2100
ATJ,14,BATCHSTOP,9/23/2023 5:11:25 PM,MUC-A3-522,,,0,0,0
ATJ,14,BATCHSTART,9/23/2023 5:11:25 PM,MXE-A3-523,,,10000,10000,2100
ATJ,14,BATCHSTOP,9/23/2023 9:57:08 PM,MXE-A3-523,,,0,0,0
ATJ,14,BATCHSTART,9/23/2023 9:57:08 PM,QTC-A3-521,,,40000,40000,2100
ATJ,14,BATCHSTOP,9/24/2023 5:00:00 PM,QTC-A3-521,,,0,0,0
ATJ,14,BATCHSTART,9/24/2023 5:00:00 PM,SUN-A3-521,,,3000,3000,2100
ATJ,14,BATCHSTOP,9/24/2023 6:25:42 PM,SUN-A3-521,,,0,0,0
ATJ,14,BATCHSTART,9/24/2023 6:25:42 PM,TRA-A3-521,,,5000,5000,2100
ATJ,14,BATCHSTOP,9/24/2023 8:48:34 PM,TRA-A3-521,,,0,0,0
ATJ,14,BATCHSTART,9/24/2023 8:48:34 PM,VAL-A3-52E,,,6000,6000,2100
ATJ,14,BATCHSTOP,9/24/2023 11:40:00 PM,VAL-A3-52E,,,0,0,0
ATJ,14,SUPERSTOP,9/24/2023 11:40:00 PM,JA1-A3-521,,,0,0,0
