,Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch
212,ATJ,13,BATCHSTOP,9/28/2023 9:48:52 AM,CNL-62-521,,,0,0,0,JA1-62-521
213,ATJ,13,BATCHSTART,9/28/2023 9:48:52 AM,FHR-62-521,,,2500,2500,1925,JA1-62-521
214,ATJ,13,BATCHSTOP,9/28/2023 11:06:47 AM,FHR-62-521,,,0,0,0,JA1-62-521
215,ATJ,13,BATCHSTART,9/28/2023 11:06:47 AM,MTV-62-521,,,27500,27500,1925,JA1-62-521
216,ATJ,13,BATCHSTOP,9/29/2023 1:23:56 AM,MTV-62-521,,,0,0,0,JA1-62-521
217,ATJ,13,BATCHSTART,9/29/2023 1:23:56 AM,MUC-62-522,,,3500,3500,1925,JA1-62-521
218,ATJ,13,BATCHSTOP,9/29/2023 3:13:01 AM,MUC-62-522,,,0,0,0,JA1-62-521
219,ATJ,13,BATCHSTART,9/29/2023 3:13:01 AM,MXE-62-521,,,2500,2500,1925,JA1-62-521
220,ATJ,13,BATCHSTOP,9/29/2023 4:30:56 AM,MXE-62-521,,,0,0,0,JA1-62-521
221,ATJ,13,BATCHSTART,9/29/2023 4:30:56 AM,PHI-62-521,,,2500,2500,1925,JA1-62-521
222,ATJ,13,BATCHSTOP,9/29/2023 5:48:52 AM,PHI-62-521,,,0,0,0,JA1-62-521
223,ATJ,13,BATCHSTART,9/29/2023 5:48:52 AM,PTC-62-521,,,2500,2500,1925,JA1-62-521
224,ATJ,13,BATCHSTOP,9/29/2023 7:06:47 AM,PTC-62-521,,,0,0,0,JA1-62-521
225,ATJ,13,BATCHSTART,9/29/2023 7:06:47 AM,QTC-62-521,,,12500,12500,1925,JA1-62-521
226,ATJ,13,BATCHSTOP,9/29/2023 1:36:24 PM,QTC-62-521,,,0,0,0,JA1-62-521
227,ATJ,13,BATCHSTART,9/29/2023 1:36:24 PM,TAR-62-521,,,5000,5000,1925,JA1-62-521
228,ATJ,13,BATCHSTOP,9/29/2023 4:12:14 PM,TAR-62-521,,,0,0,0,JA1-62-521
229,ATJ,13,BATCHSTART,9/29/2023 4:12:14 PM,VAL-62-52D,,,8000,8000,1925,JA1-62-521
